Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:53816503	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-06	2015-06-06	15:00	16:15	58.35079	12.03204	326320	6471596	EPSG:4326	250	Älje, Porsen, Boh	Uddevalla	Uddevalla	Västra Götaland	Bohuslän	Magnus Larsson, Thomas Liebig	5	5		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53502449	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-05-17	2015-05-17	12:10	13:00	56.54674	16.61325	599185	6268098	EPSG:4326	250	Frösslunda sjömark, Öl	Stenåsa	Mörbylånga	Kalmar	Öland	Michael Andersson, Melanie Karlsson	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53578509	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-05-23	2015-05-23			56.85844	15.03477	502120	6301628	EPSG:4326	50	Byvägen 4, Furuby, Sm	Furuby	Växjö	Kronoberg	Småland	George Gustafsson						friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54680162	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-02	2015-08-02			56.84328	15.9807	559824	6300370	EPSG:4326	5	Slättingebygd, Sm	Kristvalla	Nybro	Kalmar	Småland	Anders Helseth	1	1		imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54449888	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-11	2015-07-11	09:20	11:05	57.15488	16.04869	563439	6335114	EPSG:4326	25	Gamla reningsdammarna, Sm	Högsby	Högsby	Kalmar	Småland	Calle Ljungberg, Lars Johansson	1	1		imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53905142	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-12	2015-06-12	11:30	12:00	63.80707	20.34786	763144	7086546	EPSG:4326	500	Tomtebo, Nydalasjön, Vb	Umeå socken	Umeå	Västerbotten	Västerbotten	Magnus Magnusson	1	1		imago/adult	hane	friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53925097	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-13	2015-06-13			62.71825	15.59138	530243	6954336	EPSG:4326	470	Hemsjö 1:64, Hemsjö, Bräcke, Jmt	Bräcke	Bräcke	Jämtland	Jämtland	Håkan Blomqvist	1	1					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:59358521	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2016-05-06	2016-05-06	11:00	11:00	57.65801	12.08457	326063	6394377	EPSG:4326	25	Langebackens sjöstuga, Rådasjön, Vg	Råda	Härryda	Västra Götaland	Västergötland	Stefan Lemurell	1	1		imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:55002031	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-19	2015-08-19	08:50	08:50	60.3873	13.25612	403877	6695817	EPSG:4326	25	Stömyren, Vrm	Norra Ny	Torsby	Värmland	Värmland	Mikael Tjernberg, Dan Mangsbo	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54411589	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-14	2015-07-14	10:15	15:30	68.3591	18.70737	652503	7587490	EPSG:4326	1000	Njulla, Njulla, T lm	Jukkasjärvi	Kiruna	Norrbotten	Torne lappmark	Magnus Larsson, Thomas Liebig	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:60044094	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2016-06-07	2016-06-07			59.8582	17.57652	644303	6638426	EPSG:4326	500	Berthåga kyrkogård, Upl	Uppsala	Uppsala	Uppsala	Uppland	Klara Helander	2	2		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
